   125→    "sec.ops": "Operations", "sec.infra": "Infrastructure",
   152→    "hero.badge": "Uma API para o movimento global de dinheiro", "hero.title": "Infraestrutura de pagamentos para a",
   153→    "hero.titleAccent": "economia global",
   154→    "hero.subtitle": "Aceite cartões, Pix, MBWay e cripto. Gerencie câmbio, tesouraria e risco — tudo em uma plataforma empresarial usada por fintechs do mundo todo.",
   155→    "hero.cta1": "Começar a construir", "hero.cta2": "Agendar demonstração", "hero.trust": "PCI DSS Nível 1 · SOC 2 · 99,99% de uptime",
   156→    "hero.paymentReceived": "Pagamento recebido", "hero.codeTitle": "Aceite um pagamento em 4 linhas",
   157→    "trust.label": "USADO POR EQUIPES EM",
   158→    "stats.processed": "PROCESSADO EM 2024", "stats.currencies": "MOEDAS SUPORTADAS",
   159→    "stats.countries": "PAÍSES ATIVOS", "stats.uptime": "UPTIME DA PLATAFORMA",
   160→    "pm.title": "Uma API. Todos os métodos de pagamento.",
   161→    "pm.subtitle": "De cartões a transferências bancárias instantâneas e cripto — orquestre todos os rails que seus clientes esperam por uma única integração.",
   162→    "pm.visa": "Pagamentos globais com cartão, 3-D Secure nativo e tokens de rede.",
   163→    "pm.mastercard": "Aceitação mundial em mais de 210 países e territórios.",
   164→    "pm.pix": "Transferências bancárias brasileiras instantâneas, liquidadas 24/7 em segundos.",
   165→    "pm.applepay": "Checkout biométrico em um toque para clientes iOS e Safari.",
   166→    "pm.googlepay": "Pagamentos tokenizados e sem atrito para Android e web.",
   167→    "pm.mbway": "Carteira móvel portuguesa — confirme e liquide em menos de um segundo.",
   168→    "pm.crypto": "Liquidações em stablecoin e on-chain com finalidade instantânea.",
   169→    "pm.sepa": "Transferências bancárias da Área Única de Pagamentos em Euros na UE.",
   170→    "pm.bizum": "Pagamentos instantâneos pessoa-a-pessoa entre qualquer banco em Espanha.",
   171→    "dev.title": "Feito para desenvolvedores, amado por finanças.",
   172→    "dev.subtitle": "SDKs tipados, APIs idempotentes, webhooks em tempo real e um explorador de API completo — do cadastro ao primeiro pagamento em minutos.",
   173→    "dev.feature1": "SDKs tipados", "dev.feature1d": "Clientes Node, Python, PHP e Go de primeira classe.",
   174→    "dev.feature2": "Webhooks", "dev.feature2d": "Assinados, com reenvio, entregues em menos de 200ms.",
   175→    "dev.feature3": "Explorador de API", "dev.feature3d": "Teste todos os endpoints no navegador.",
   176→    "dev.feature4": "Idempotência", "dev.feature4d": "Retries seguros, semântica exatamente uma vez.",
   177→    "dev.response": "Resposta", "dev.install": "npm i @xpayments/node",
   178→    "features.title": "Tudo o que você precisa para escalar pagamentos.",
   179→    "features.subtitle": "Uma plataforma para movimento de dinheiro, risco e crescimento — do primeiro ao bilionésimo em volume.",
   180→    "features.wallets": "Carteiras e Câmbio", "features.walletsD": "Mantenha mais de 120 moedas, converta a mercado, liquide em qualquer lugar.",
   181→    "features.treasury": "Tesouraria", "features.treasuryD": "Liquidez, reservas e fluxo de caixa unificados entre entidades.",
   182→    "features.risk": "Motor de Risco", "features.riskD": "Pontuação de fraude por IA, regras de velocidade e proteção contra chargeback.",
   183→    "features.commerce": "Comércio", "features.commerceD": "Lojas, produtos, links, faturas e assinaturas.",
   184→    "features.analytics": "Analytics", "features.analyticsD": "Receita, funis, países e provedores em tempo real.",
   185→    "features.developers": "Desenvolvedores", "features.developersD": "Chaves de API, webhooks, logs e explorador de API ao vivo.",
   186→    "security.title": "Segurança de nível empresarial, por padrão.",
   187→    "security.subtitle": "Controles de nível bancário auditados continuamente para você lançar com confiança.",
   188→    "security.pci": "PCI DSS Nível 1", "security.pciD": "O mais alto nível de certificação de segurança de dados de pagamento.",
   189→    "security.soc": "SOC 2 Tipo II", "security.socD": "Controles auditados de forma independente para confiança e transparência.",
   190→    "security.uptime": "SLA de 99,99% de uptime", "security.uptimeD": "Infraestrutura globalmente redundante com garantias financeiras.",
   191→    "testimonials.title": "Amado por equipes fintech do mundo todo",
   192→    "t1.quote": "A XPayments nos deixou lançar no Brasil em uma semana — Pix, cartões e pagamentos simplesmente funcionaram.",
   193→    "t1.author": "Lucas Ferreira", "t1.role": "CTO, Nimbus Labs",
   194→    "t2.quote": "O motor de risco cortou nossos chargebacks em 60% no primeiro mês. Realmente de elite.",
   195→    "t2.author": "Camille Dubois", "t2.role": "Head de Pagamentos, Quanta Pay",
   196→    "t3.quote": "Um painel para câmbio, tesouraria e pagamentos. Substituiu quatro fornecedores.",
   197→    "t3.author": "Marco Bianchi", "t3.role": "CFO, Vertex Commerce",
   198→    "cta.title": "Comece a aceitar pagamentos hoje.", "cta.subtitle": "Cadastre-se em minutos. Sem taxas de setup. No ar em um dia.",
   199→    "cta.button": "Começar a construir", "cta.secondary": "Falar com vendas",
   200→    "footer.tagline": "Infraestrutura de pagamentos empresariais para a economia global.",
   201→    "footer.product": "Produto", "footer.developers": "Desenvolvedores", "footer.company": "Empresa",
   202→    "footer.resources": "Recursos", "footer.legal": "Jurídico", "footer.security": "Segurança",
   203→    "footer.privacy": "Privacidade", "footer.terms": "Termos", "footer.compliance": "Conformidade",
   204→    "footer.rights": "Todos os direitos reservados.", "footer.language": "Idioma",
   205→    "auth.brandedTitle": "Infraestrutura de pagamentos para a", "auth.brandedAccent": "economia global",
   206→    "auth.brandedSubtitle": "Aceite cartões, Pix, MBWay e cripto. Gerencie câmbio, tesouraria e risco — tudo em uma plataforma empresarial usada por fintechs do mundo todo.",
   207→    "auth.feature1": "99,99% de uptime, 42ms de latência mediana", "auth.feature2": "Mais de 120 moedas, 45 países",
   208→    "auth.feature3": "PCI DSS Nível 1, SOC 2 Tipo II", "auth.backHome": "Voltar ao início",
   209→    "auth.loginTitle": "Entrar na sua conta", "auth.loginSubtitle": "Bem-vindo de volta. Insira suas credenciais para acessar o painel.",
   210→    "auth.email": "E-mail", "auth.password": "Senha", "auth.forgot": "Esqueceu?",
   211→    "auth.remember": "Lembrar de mim por 30 dias", "auth.signinBtn": "Entrar", "auth.or": "ou",
   212→    "auth.demoTitle": "Credenciais de demonstração", "auth.demoMerchant": "Comerciante", "auth.demoAdmin": "Administrador",
   213→    "auth.newTo": "Novo na XPayments?", "auth.requestAccess": "Solicitar acesso",
   214→    "auth.forgotTitle": "Redefinir sua senha", "auth.forgotSubtitle": "Insira seu e-mail e enviaremos um link de redefinição.",
   215→    "auth.forgotBtn": "Enviar link de redefinição", "auth.backSignin": "Voltar para entrar",
   216→    "auth.resetTitle": "Definir uma nova senha", "auth.resetSubtitle": "Escolha uma senha forte para sua conta.",
   217→    "auth.resetBtn": "Atualizar senha", "auth.welcomeBack": "Bem-vindo de volta", "auth.registerTitle": "Crie a sua conta", "auth.registerSubtitle": "Comece a aceitar pagamentos em minutos. Sem taxas de setup.", "auth.fullName": "Nome completo", "auth.fullNamePlaceholder": "João Silva", "auth.companyName": "Nome da organização / loja", "auth.companyPlaceholder": "Acme Lda.", "auth.createAccount": "Criar conta", "auth.registerSuccess": "Conta criada", "auth.registerSuccessDesc": "Bem-vindo à XPayments — o seu espaço de comerciante está pronto.", "auth.registerFailed": "Falha no registo", "auth.registerFailedDesc": "Não foi possível criar a conta. Tente novamente.", "auth.haveAccount": "Já tem conta?", "auth.signInLink": "Entrar", "auth.noAccount": "Não tem conta?", "auth.createAccountLink": "Criar conta", "auth.tabLogin": "Entrar", "auth.tabRegister": "Criar conta", "auth.welcomeMerchant": "Bem-vindo",
   218→    "auth.signinFailed": "Falha ao entrar", "auth.signinFailedDesc": "Verifique suas credenciais e tente novamente.",
   219→    "auth.resetSent": "Link de redefinição enviado", "auth.resetSentDesc": "Verifique sua caixa de entrada para as instruções.",
   220→    "sec.overview": "Visão geral", "sec.money": "Movimentação de dinheiro", "sec.commerce": "Comércio",
   221→    "sec.developers": "Desenvolvedores", "sec.system": "Sistema", "sec.platform": "Plataforma",
   222→    "sec.ops": "Operações", "sec.infra": "Infraestrutura",
   223→    "nav.dashboard": "Painel", "nav.analytics": "Analytics", "nav.risk": "Centro de risco",
   224→    "nav.payments": "Pagamentos", "nav.wallets": "Carteiras", "nav.fx": "Câmbio", "nav.treasury": "Tesouraria",
   225→    "nav.stores": "Lojas", "nav.products": "Produtos", "nav.customers": "Clientes",
   226→    "nav.subscriptions": "Assinaturas", "nav.paymentLinks": "Links de pagamento", "nav.invoices": "Faturas",
   227→    "nav.apiKeys": "Chaves de API", "nav.webhooks": "Webhooks", "nav.settings": "Configurações", "nav.support": "Suporte",
   228→    "nav.adminDashboard": "Visão geral", "nav.adminMerchants": "Comerciantes", "nav.adminKyc": "Fila KYC",
   229→    "nav.adminTreasury": "Tesouraria", "nav.adminRevenue": "Receita", "nav.adminGateways": "Gateways",
   230→    "nav.adminRisk": "Risco", "nav.adminAnalytics": "Analytics da plataforma", "nav.adminSupport": "Suporte",
   231→    "nav.adminHealth": "Saúde do sistema", "nav.adminWorkers": "Workers", "nav.adminQueues": "Filas",
   232→    "nav.adminLogs": "Logs", "nav.adminFlags": "Feature flags", "nav.adminCompliance": "Conformidade",
   233→    "shell.workspace": "Espaço do comerciante", "shell.liveMode": "Modo ao vivo",
   234→    "shell.liveModeDesc": "Você está operando em modo Ao vivo.", "shell.profile": "Perfil", "shell.billing": "Cobrança",
   235→    "shell.security": "Segurança", "shell.signout": "Sair", "shell.signedOut": "Sessão encerrada",
   236→    "shell.notifications": "Notificações", "shell.markAllRead": "Marcar todas como lidas",
   237→    "cmd.placeholder": "Buscar páginas, ações…", "cmd.quickActions": "Ações rápidas",
   238→    "cmd.exportPayments": "Exportar pagamentos (CSV)", "cmd.createLink": "Criar link de pagamento",
   239→  },
   240→  fr: {
   241→    "common.signin": "Se connecter", "common.signup": "Commencer", "common.bookDemo": "Réserver une démo",
   242→    "common.search": "Rechercher paiements, clients…", "common.live": "En direct", "common.export": "Exporter",
   243→    "common.exportCsv": "Exporter CSV", "common.exportExcel": "Exporter Excel", "common.create": "Créer",
   244→    "common.save": "Enregistrer", "common.cancel": "Annuler", "common.delete": "Supprimer", "common.copy": "Copier",
   245→    "common.copied": "Copié", "common.viewAll": "Tout voir", "common.loading": "Chargement…",
   246→    "common.newPayment": "Nouveau paiement",
   247→    "nav.product": "Produit", "nav.pricing": "Tarifs", "nav.developers": "Développeurs",
   248→    "nav.enterprise": "Entreprise", "nav.docs": "Docs", "nav.toggleMenu": "Ouvrir le menu",
   249→    "hero.badge": "Une API pour le mouvement d'argent mondial", "hero.title": "Infrastructure de paiements pour l'",
   250→    "hero.titleAccent": "économie mondiale",
   251→    "hero.subtitle": "Acceptez cartes, Pix, MBWay et crypto. Gérez le change, la trésorerie et le risque — sur une seule plateforme entreprise plébiscitée par les fintechs du monde entier.",
   252→    "hero.cta1": "Commencer", "hero.cta2": "Réserver une démo", "hero.trust": "PCI DSS Niveau 1 · SOC 2 · 99,99 % de disponibilité",
   253→    "hero.paymentReceived": "Paiement reçu", "hero.codeTitle": "Acceptez un paiement en 4 lignes",
   254→    "trust.label": "ADOPTÉ PAR LES ÉQUIPES DE",
   255→    "stats.processed": "TRAITÉ EN 2024", "stats.currencies": "DEVISES PRISES EN CHARGE",
   256→    "stats.countries": "PAYS ACTIFS", "stats.uptime": "DISPONIBILITÉ DE LA PLATEFORME",
   257→    "pm.title": "Une API. Tous les moyens de paiement.",
   258→    "pm.subtitle": "Des cartes aux virements bancaires instantanés et à la crypto — orchestrez tous les rails attendus par vos clients via une intégration unique.",
   259→    "pm.visa": "Paiements par carte mondiaux avec 3-D Secure natif et jetons réseau.",
   260→    "pm.mastercard": "Acceptation mondiale dans plus de 210 pays et territoires.",
   261→    "pm.pix": "Virements bancaires brésiliens instantanés, réglés 24h/24 et 7j/7 en secondes.",
   262→    "pm.applepay": "Checkout biométrique en une touche pour clients iOS et Safari.",
   263→    "pm.googlepay": "Paiements tokenisés sans friction pour Android et le web.",
   264→    "pm.mbway": "Portefeuille mobile portugais — confirmez et réglez en moins d'une seconde.",
   265→    "pm.crypto": "Règlements en stablecoin et on-chain à finalité instantanée.",
   266→    "pm.sepa": "Virements de l'Espace unique de paiement en euros dans l'UE.",
   267→    "pm.bizum": "Paiements instantanés de pair à pair entre toutes les banques en Espagne.",
   268→    "dev.title": "Conçu pour les développeurs, adoré par les finances.",
   269→    "dev.subtitle": "SDK typés, API idempotentes, webhooks en temps réel et explorateur d'API complet — du compte au premier paiement en minutes.",
   270→    "dev.feature1": "SDK typés", "dev.feature1d": "Clients Node, Python, PHP et Go de premier ordre.",
   271→    "dev.feature2": "Webhooks", "dev.feature2d": "Signés, réessayés, livrés en moins de 200 ms.",
   272→    "dev.feature3": "Explorateur d'API", "dev.feature3d": "Testez tous les endpoints depuis le navigateur.",
   273→    "dev.feature4": "Idempotence", "dev.feature4d": "Nouvelles tentatives sûres, sémantique exactement une fois.",
   274→    "dev.response": "Réponse", "dev.install": "npm i @xpayments/node",
   275→    "features.title": "Tout pour faire passer vos paiements à l'échelle.",
   276→    "features.subtitle": "Une plateforme pour le mouvement d'argent, le risque et la croissance — du premier au milliardème en volume.",
   277→    "features.wallets": "Portefeuilles & Change", "features.walletsD": "Détenez plus de 120 devises, convertissez au taux du marché, réglez partout.",
   278→    "features.treasury": "Trésorerie", "features.treasuryD": "Liquidité, réserves et flux de trésorerie unifiés entre entités.",
   279→    "features.risk": "Moteur de risque", "features.riskD": "Scoring de fraude par IA, règles de vélocité et protection contre les impayés.",
   280→    "features.commerce": "Commerce", "features.commerceD": "Boutiques, produits, liens, factures et abonnements.",
   281→    "features.analytics": "Analytics", "features.analyticsD": "Revenus, entonnoirs, pays et fournisseurs en temps réel.",
   282→    "features.developers": "Développeurs", "features.developersD": "Clés API, webhooks, logs et explorateur d'API en direct.",
   283→    "security.title": "Sécurité de niveau entreprise, par défaut.",
   284→    "security.subtitle": "Des contrôles de niveau bancaire audités en continu pour livrer en toute confiance.",
   285→    "security.pci": "PCI DSS Niveau 1", "security.pciD": "Le plus haut niveau de certification de sécurité des données de paiement.",
   286→    "security.soc": "SOC 2 Type II", "security.socD": "Contrôles audités indépendamment pour la confiance et la transparence.",
   287→    "security.uptime": "SLA 99,99 % de disponibilité", "security.uptimeD": "Infrastructure globalement redondante avec garanties financières.",
   288→    "testimonials.title": "Adoré par les équipes fintech du monde entier",
   289→    "t1.quote": "XPayments nous a permis de lancer au Brésil en une semaine — Pix, cartes et paiements ont simplement fonctionné.",
   290→    "t1.author": "Lucas Ferreira", "t1.role": "CTO, Nimbus Labs",
   291→    "t2.quote": "Le moteur de risque a réduit nos impayés de 60 % dès le premier mois. Vraiment de premier ordre.",
   292→    "t2.author": "Camille Dubois", "t2.role": "Head of Payments, Quanta Pay",
   293→    "t3.quote": "Un tableau de bord pour le change, la trésorerie et les paiements. Il a remplacé quatre fournisseurs.",
   294→    "t3.author": "Marco Bianchi", "t3.role": "CFO, Vertex Commerce",
   295→    "cta.title": "Commencez à accepter des paiements aujourd'hui.", "cta.subtitle": "Inscrivez-vous en quelques minutes. Sans frais de configuration. En ligne en un jour.",
   296→    "cta.button": "Commencer", "cta.secondary": "Parler aux ventes",
   297→    "footer.tagline": "Infrastructure de paiements entreprise pour l'économie mondiale.",
   298→    "footer.product": "Produit", "footer.developers": "Développeurs", "footer.company": "Entreprise",
   299→    "footer.resources": "Ressources", "footer.legal": "Mentions légales", "footer.security": "Sécurité",
   300→    "footer.privacy": "Confidentialité", "footer.terms": "Conditions", "footer.compliance": "Conformité",
   301→    "footer.rights": "Tous droits réservés.", "footer.language": "Langue",
   302→    "auth.brandedTitle": "Infrastructure de paiements pour l'", "auth.brandedAccent": "économie mondiale",
   303→    "auth.brandedSubtitle": "Acceptez cartes, Pix, MBWay et crypto. Gérez le change, la trésorerie et le risque — sur une seule plateforme entreprise plébiscitée par les fintechs du monde entier.",
   304→    "auth.feature1": "99,99 % de disponibilité, 42 ms de latence médiane", "auth.feature2": "Plus de 120 devises, 45 pays",
   305→    "auth.feature3": "PCI DSS Niveau 1, SOC 2 Type II", "auth.backHome": "Retour à l'accueil",
   306→    "auth.loginTitle": "Connectez-vous à votre compte", "auth.loginSubtitle": "Bon retour. Saisissez vos identifiants pour accéder au tableau de bord.",
   307→    "auth.email": "E-mail", "auth.password": "Mot de passe", "auth.forgot": "Oublié ?",
   308→    "auth.remember": "Se souvenir de moi pendant 30 jours", "auth.signinBtn": "Se connecter", "auth.or": "ou",
   309→    "auth.demoTitle": "Identifiants de démo", "auth.demoMerchant": "Commerçant", "auth.demoAdmin": "Administrateur",
   310→    "auth.newTo": "Nouveau sur XPayments ?", "auth.requestAccess": "Demander l'accès",
   311→    "auth.forgotTitle": "Réinitialiser votre mot de passe", "auth.forgotSubtitle": "Saisissez votre e-mail et nous vous enverrons un lien de réinitialisation.",
   312→    "auth.forgotBtn": "Envoyer le lien", "auth.backSignin": "Retour à la connexion",
   313→    "auth.resetTitle": "Définir un nouveau mot de passe", "auth.resetSubtitle": "Choisissez un mot de passe robuste pour votre compte.",
   314→    "auth.resetBtn": "Mettre à jour le mot de passe", "auth.welcomeBack": "Bon retour", "auth.registerTitle": "Créez votre compte", "auth.registerSubtitle": "Commencez à accepter les paiements en quelques minutes. Sans frais de configuration.", "auth.fullName": "Nom complet", "auth.fullNamePlaceholder": "Jean Dupont", "auth.companyName": "Nom de l'organisation / boutique", "auth.companyPlaceholder": "Acme SARL", "auth.createAccount": "Créer le compte", "auth.registerSuccess": "Compte créé", "auth.registerSuccessDesc": "Bienvenue sur XPayments — votre espace commerçant est prêt.", "auth.registerFailed": "Échec de l'inscription", "auth.registerFailedDesc": "Impossible de créer le compte. Réessayez.", "auth.haveAccount": "Vous avez déjà un compte ?", "auth.signInLink": "Se connecter", "auth.noAccount": "Pas de compte ?", "auth.createAccountLink": "Créer un compte", "auth.tabLogin": "Se connecter", "auth.tabRegister": "Créer un compte", "auth.welcomeMerchant": "Bienvenue",
   315→    "auth.signinFailed": "Échec de la connexion", "auth.signinFailedDesc": "Vérifiez vos identifiants et réessayez.",
   316→    "auth.resetSent": "Lien de réinitialisation envoyé", "auth.resetSentDesc": "Vérifiez votre boîte de réception pour les instructions.",
   317→    "sec.overview": "Aperçu", "sec.money": "Mouvement d'argent", "sec.commerce": "Commerce",
   318→    "sec.developers": "Développeurs", "sec.system": "Système", "sec.platform": "Plateforme",
   319→    "sec.ops": "Opérations", "sec.infra": "Infrastructure",
   320→    "nav.dashboard": "Tableau de bord", "nav.analytics": "Analytics", "nav.risk": "Centre de risque",
   321→    "nav.payments": "Paiements", "nav.wallets": "Portefeuilles", "nav.fx": "Change", "nav.treasury": "Trésorerie",
   322→    "nav.stores": "Boutiques", "nav.products": "Produits", "nav.customers": "Clients",
   323→    "nav.subscriptions": "Abonnements", "nav.paymentLinks": "Liens de paiement", "nav.invoices": "Factures",
   324→    "nav.apiKeys": "Clés API", "nav.webhooks": "Webhooks", "nav.settings": "Paramètres", "nav.support": "Support",
   325→    "nav.adminDashboard": "Aperçu", "nav.adminMerchants": "Commerçants", "nav.adminKyc": "File KYC",
   326→    "nav.adminTreasury": "Trésorerie", "nav.adminRevenue": "Revenus", "nav.adminGateways": "Gateways",
   327→    "nav.adminRisk": "Risque", "nav.adminAnalytics": "Analytics plateforme", "nav.adminSupport": "Support",
   328→    "nav.adminHealth": "Santé du système", "nav.adminWorkers": "Workers", "nav.adminQueues": "Files",
   329→    "nav.adminLogs": "Logs", "nav.adminFlags": "Feature flags", "nav.adminCompliance": "Conformité",
   330→    "shell.workspace": "Espace commerçant", "shell.liveMode": "Mode live",
   331→    "shell.liveModeDesc": "Vous opérez en mode Live.", "shell.profile": "Profil", "shell.billing": "Facturation",
   332→    "shell.security": "Sécurité", "shell.signout": "Se déconnecter", "shell.signedOut": "Déconnecté",
   333→    "shell.notifications": "Notifications", "shell.markAllRead": "Tout marquer comme lu",
   334→    "cmd.placeholder": "Rechercher pages, actions…", "cmd.quickActions": "Actions rapides",
   335→    "cmd.exportPayments": "Exporter les paiements (CSV)", "cmd.createLink": "Créer un lien de paiement",
   336→  },
   337→  es: {
   338→    "common.signin": "Iniciar sesión", "common.signup": "Empezar", "common.bookDemo": "Reservar demo",
   339→    "common.search": "Buscar pagos, clientes…", "common.live": "En vivo", "common.export": "Exportar",
   340→    "common.exportCsv": "Exportar CSV", "common.exportExcel": "Exportar Excel", "common.create": "Crear",
   341→    "common.save": "Guardar", "common.cancel": "Cancelar", "common.delete": "Eliminar", "common.copy": "Copiar",
   342→    "common.copied": "Copiado", "common.viewAll": "Ver todo", "common.loading": "Cargando…",
   343→    "common.newPayment": "Nuevo pago",
   344→    "nav.product": "Producto", "nav.pricing": "Precios", "nav.developers": "Desarrolladores",
   345→    "nav.enterprise": "Empresa", "nav.docs": "Docs", "nav.toggleMenu": "Abrir menú",
   346→    "hero.badge": "Una API para el movimiento global de dinero", "hero.title": "Infraestructura de pagos para la",
   347→    "hero.titleAccent": "economía global",
   348→    "hero.subtitle": "Acepta tarjetas, Pix, MBWay y cripto. Gestiona cambio, tesorería y riesgo — todo en una plataforma empresarial usada por fintechs de todo el mundo.",
   349→    "hero.cta1": "Empezar", "hero.cta2": "Reservar demo", "hero.trust": "PCI DSS Nivel 1 · SOC 2 · 99,99 % de disponibilidad",
   350→    "hero.paymentReceived": "Pago recibido", "hero.codeTitle": "Acepta un pago en 4 líneas",
   351→    "trust.label": "USADO POR EQUIPOS DE",
   352→    "stats.processed": "PROCESADO EN 2024", "stats.currencies": "MONEDAS SOPORTADAS",
   353→    "stats.countries": "PAÍSES ACTIVOS", "stats.uptime": "DISPONIBILIDAD DE LA PLATAFORMA",
   354→    "pm.title": "Una API. Todos los métodos de pago.",
   355→    "pm.subtitle": "De tarjetas a transferencias bancarias instantáneas y cripto — orquesta todos los raíles que tus clientes esperan con una sola integración.",
   356→    "pm.visa": "Pagos con tarjeta globales con 3-D Secure nativo y tokens de red.",
   357→    "pm.mastercard": "Aceptación mundial en más de 210 países y territorios.",
   358→    "pm.pix": "Transferencias bancarias brasileñas instantáneas, liquidadas 24/7 en segundos.",
   359→    "pm.applepay": "Checkout biométrico en un toque para clientes iOS y Safari.",
   360→    "pm.googlepay": "Pagos tokenizados sin fricción para Android y web.",
   361→    "pm.mbway": "Cartera móvil portuguesa — confirma y liquida en menos de un segundo.",
   362→    "pm.crypto": "Liquidez en stablecoin y on-chain con finalidad instantánea.",
   363→    "pm.sepa": "Transferencias del Área Única de Pagos en Euros en la UE.",
   364→    "pm.bizum": "Pagos instantáneos persona a persona entre cualquier banco en España.",
   365→    "dev.title": "Hecho para desarrolladores, amado por finanzas.",
   366→    "dev.subtitle": "SDKs tipados, APIs idempotentes, webhooks en tiempo real y un explorador de API completo — del registro al primer pago en minutos.",
   367→    "dev.feature1": "SDKs tipados", "dev.feature1d": "Clientes Node, Python, PHP y Go de primera clase.",
   368→    "dev.feature2": "Webhooks", "dev.feature2d": "Firmados, reintentados, entregados en menos de 200 ms.",
   369→    "dev.feature3": "Explorador de API", "dev.feature3d": "Prueba todos los endpoints desde el navegador.",
   370→    "dev.feature4": "Idempotencia", "dev.feature4d": "Reintentos seguros, semántica exactamente una vez.",
   371→    "dev.response": "Respuesta", "dev.install": "npm i @xpayments/node",
   372→    "features.title": "Todo lo que necesitas para escalar pagos.",
   373→    "features.subtitle": "Una plataforma para el movimiento de dinero, el riesgo y el crecimiento — del primer dólar al volumen de mil millones.",
   374→    "features.wallets": "Carteras y Cambio", "features.walletsD": "Mantén más de 120 monedas, convierte a mercado, liquida en cualquier lugar.",
   375→    "features.treasury": "Tesorería", "features.treasuryD": "Liquidez, reservas y flujo de caja unificados entre entidades.",
   376→    "features.risk": "Motor de riesgo", "features.riskD": "Scoring de fraude con IA, reglas de velocidad y protección contra contracargos.",
   377→    "features.commerce": "Comercio", "features.commerceD": "Tiendas, productos, enlaces, facturas y suscripciones.",
   378→    "features.analytics": "Analytics", "features.analyticsD": "Ingresos, embudos, países y proveedores en tiempo real.",
   379→    "features.developers": "Desarrolladores", "features.developersD": "Claves API, webhooks, logs y explorador de API en vivo.",
   380→    "security.title": "Seguridad de nivel empresarial, por defecto.",
   381→    "security.subtitle": "Controles de nivel bancario auditados continuamente para que lances con confianza.",
   382→    "security.pci": "PCI DSS Nivel 1", "security.pciD": "El más alto nivel de certificación de seguridad de datos de pago.",
   383→    "security.soc": "SOC 2 Tipo II", "security.socD": "Controles auditados independientemente para confianza y transparencia.",
   384→    "security.uptime": "SLA 99,99 % de disponibilidad", "security.uptimeD": "Infraestructura globalmente redundante con garantías financieras.",
   385→    "testimonials.title": "Amado por equipos fintech de todo el mundo",
   386→    "t1.quote": "XPayments nos permitió lanzar en Brasil en una semana — Pix, tarjetas y pagos simplemente funcionaron.",
   387→    "t1.author": "Lucas Ferreira", "t1.role": "CTO, Nimbus Labs",
   388→    "t2.quote": "El motor de riesgo redujo nuestros contracargos un 60 % en el primer mes. Realmente de primer nivel.",
   389→    "t2.author": "Camille Dubois", "t2.role": "Head de Pagos, Quanta Pay",
   390→    "t3.quote": "Un panel para cambio, tesorería y pagos. Sustituyó a cuatro proveedores.",
   391→    "t3.author": "Marco Bianchi", "t3.role": "CFO, Vertex Commerce",
   392→    "cta.title": "Empieza a aceptar pagos hoy.", "cta.subtitle": "Regístrate en minutos. Sin costes de configuración. En línea en un día.",
   393→    "cta.button": "Empezar", "cta.secondary": "Hablar con ventas",
